t_values,blh_ref
1519483200.0000002,913.607030688341
1519483500.0,911.0678644324313
1519483800.0,908.5286981745036
1519484099.9999998,905.9895319185939
1519484400.0,903.4503656586484
1519484700.0000002,900.9111993987028
1519485000.0,898.372033142793
1519485300.0,895.0006493569416
1519485599.9999998,891.2328542676441
1519485900.0000002,887.4650591693634
1519486200.0,883.6972640800658
1519486500.0,879.9294689877739
1519486799.9999998,876.1616738984764
1519487100.0,872.3938788031901
1519487400.0000002,868.6260837079038
1519487700.0,864.8582886186063
1519488000.0,857.186909091931
1519488299.9999998,848.2998271962472
1519488600.0000002,839.4127452793747
1519488900.0,830.5256633836908
1519489200.0,821.6385814809439
1519489499.9999998,812.75149958526
1519489800.0,803.8644176754506
1519490100.0000002,794.977335765641
1519490400.0,786.090253869957
1519490700.0,777.2031719672102
1519490999.9999998,768.3160900715263
1519491300.0000002,759.429008154654
1519491600.0,750.54192625897
1519491900.0,679.56539613082
1519492199.9999998,554.4207735331646
1519492500.0,429.2761507365973
1519492800.0000002,304.1315279400299
1519493100.0,243.5973296265954
1519493400.0,245.63456767076372
1519493699.9999998,247.67180571331298
1519494000.0000002,249.70904376071945
1519494300.0,251.7462818032687
1519494600.0,253.78351984743702
1519494899.9999998,255.8207578899863
1519495200.0,257.8579959357737
1519495500.0000002,259.89523398156103
1519495800.0,261.9324720241103
1519496100.0,263.9697100682787
1519496399.9999998,266.0069481108279
1519496700.0000002,268.248933865197
1519497000.0,271.72517338225595
1519497300.0,275.2014129020776
1519497599.9999998,278.6776524191366
1519497900.0,282.153891941721
1519498200.0000002,285.6301314643053
1519498500.0,289.1063709813643
1519498800.0,292.58261050118597
1519499099.9999998,296.058850018245
1519499400.0000002,299.535089543592
1519499700.0,303.01132906065095
1519500000.0,306.48756858047267
1519500299.9999998,309.9111166913304
1519500600.0,312.5656995994221
1519500900.0000002,315.22028250751396
1519501200.0,317.8748654113864
1519501500.0,320.5294483173685
1519501799.9999998,323.18403122124096
1519502100.0000002,325.8386141314424
1519502400.0,328.49319703531484
1519502700.0,331.147779941297
1519502999.9999998,333.80236284516945
1519503300.0,336.45694575326127
1519503600.0000002,339.111528661353
1519503900.0,341.7661115652255
1519504200.0,344.42069447120764
1519504499.9999998,347.0752773750801
1519504800.0000002,349.7298602852815
1519505100.0,352.38444318915396
1519505400.0,355.0390260951361
1519505699.9999998,357.6936089990086
1519506000.0,360.3481919071004
1519506300.0000002,363.0027748151921
1519506600.0,365.6573577190646
1519506900.0,368.3119406250467
1519507199.9999998,357.31834105539
1519507500.0000002,345.1515027168756
1519507800.0,332.9846644073693
1519508100.0,320.81782608819356
1519508399.9999998,308.65098777868724
1519508700.0,296.48414944984216
1519509000.0000002,284.51624317779215
1519509300.0,282.79857188709644
1519509600.0,281.0809005950357
1519509899.9999998,279.36322930434
1519510200.0000002,277.6455580095491
1519510500.0,275.9278867188534
1519510800.0,274.21021542679273
1519511099.9999998,272.492544136097
1519511400.0,270.7748728426712
1519511700.0000002,269.0572015492454
1519512000.0,267.8899225048028
1519512300.0,268.4514688887598
1519512599.9999998,269.01301527227054
1519512900.0000002,269.57456165712
1519513200.0,270.13610804063075
1519513500.0,270.6976544245877
1519513799.9999998,271.2592008080984
1519514100.0,271.8207471925017
1519514400.0000002,272.38229357690494
1519514700.0,272.94383996041563
1519515000.0,273.5053863443726
1519515299.9999998,274.06693272788334
1519515600.0000002,274.62847911273286
1519515900.0,275.19002549624355
1519516200.0,275.75157188020046
1519516499.9999998,276.3131182637112
